date,time,home,away,round
2026-08-28,,Bayern Munich,VfB Stuttgart,Matchday 1
2026-08-30,,Borussia Dortmund,Hamburger SV,Matchday 1
2026-08-30,,RB Leipzig,Borussia Mönchengladbach,Matchday 1
2026-08-30,,SC Freiburg,Werder Bremen,Matchday 1
2026-08-30,,FC Augsburg,Schalke 04,Matchday 1
2026-08-30,,Mainz 05,SC Paderborn,Matchday 1
2026-08-30,,Union Berlin,Eintracht Frankfurt,Matchday 1
2026-08-30,,1. FC Köln,TSG Hoffenheim,Matchday 1
2026-08-30,,SV Elversberg,Bayer Leverkusen,Matchday 1
2026-09-06,,VfB Stuttgart,1. FC Köln,Matchday 2
2026-09-06,,TSG Hoffenheim,Borussia Dortmund,Matchday 2
2026-09-06,,Bayer Leverkusen,Union Berlin,Matchday 2
2026-09-06,,Eintracht Frankfurt,FC Augsburg,Matchday 2
2026-09-06,,Borussia Mönchengladbach,SV Elversberg,Matchday 2
2026-09-06,,Hamburger SV,Mainz 05,Matchday 2
2026-09-06,,Werder Bremen,RB Leipzig,Matchday 2
2026-09-06,,Schalke 04,Bayern Munich,Matchday 2
2026-09-06,,SC Paderborn,SC Freiburg,Matchday 2
2026-09-13,,Borussia Dortmund,SC Paderborn,Matchday 3
2026-09-13,,RB Leipzig,Hamburger SV,Matchday 3
2026-09-13,,TSG Hoffenheim,VfB Stuttgart,Matchday 3
2026-09-13,,SC Freiburg,Borussia Mönchengladbach,Matchday 3
2026-09-13,,FC Augsburg,Bayer Leverkusen,Matchday 3
2026-09-13,,Mainz 05,Eintracht Frankfurt,Matchday 3
2026-09-13,,Union Berlin,Schalke 04,Matchday 3
2026-09-13,,1. FC Köln,Werder Bremen,Matchday 3
2026-09-13,,SV Elversberg,Bayern Munich,Matchday 3
2026-09-20,,Bayern Munich,Union Berlin,Matchday 4
2026-09-20,,VfB Stuttgart,Borussia Dortmund,Matchday 4
2026-09-20,,Bayer Leverkusen,RB Leipzig,Matchday 4
2026-09-20,,Eintracht Frankfurt,SC Freiburg,Matchday 4
2026-09-20,,Borussia Mönchengladbach,Mainz 05,Matchday 4
2026-09-20,,Hamburger SV,1. FC Köln,Matchday 4
2026-09-20,,Werder Bremen,FC Augsburg,Matchday 4
2026-09-20,,Schalke 04,SV Elversberg,Matchday 4
2026-09-20,,SC Paderborn,TSG Hoffenheim,Matchday 4
2026-10-11,,Borussia Dortmund,Werder Bremen,Matchday 5
2026-10-11,,RB Leipzig,Eintracht Frankfurt,Matchday 5
2026-10-11,,TSG Hoffenheim,Hamburger SV,Matchday 5
2026-10-11,,SC Freiburg,Schalke 04,Matchday 5
2026-10-11,,FC Augsburg,Bayern Munich,Matchday 5
2026-10-11,,Mainz 05,Bayer Leverkusen,Matchday 5
2026-10-11,,Union Berlin,SV Elversberg,Matchday 5
2026-10-11,,1. FC Köln,Borussia Mönchengladbach,Matchday 5
2026-10-11,,SC Paderborn,VfB Stuttgart,Matchday 5
2026-10-18,,Bayern Munich,RB Leipzig,Matchday 6
2026-10-18,,Bayer Leverkusen,SC Freiburg,Matchday 6
2026-10-18,,Eintracht Frankfurt,1. FC Köln,Matchday 6
2026-10-18,,Union Berlin,Borussia Dortmund,Matchday 6
2026-10-18,,Borussia Mönchengladbach,TSG Hoffenheim,Matchday 6
2026-10-18,,Hamburger SV,VfB Stuttgart,Matchday 6
2026-10-18,,Werder Bremen,SC Paderborn,Matchday 6
2026-10-18,,Schalke 04,Mainz 05,Matchday 6
2026-10-18,,SV Elversberg,FC Augsburg,Matchday 6
2026-10-25,,Borussia Dortmund,Eintracht Frankfurt,Matchday 7
2026-10-25,,RB Leipzig,SV Elversberg,Matchday 7
2026-10-25,,VfB Stuttgart,Borussia Mönchengladbach,Matchday 7
2026-10-25,,TSG Hoffenheim,Bayer Leverkusen,Matchday 7
2026-10-25,,SC Freiburg,Bayern Munich,Matchday 7
2026-10-25,,FC Augsburg,Union Berlin,Matchday 7
2026-10-25,,Mainz 05,Werder Bremen,Matchday 7
2026-10-25,,1. FC Köln,Schalke 04,Matchday 7
2026-10-25,,SC Paderborn,Hamburger SV,Matchday 7
2026-11-01,,Bayern Munich,Borussia Dortmund,Matchday 8
2026-11-01,,Bayer Leverkusen,VfB Stuttgart,Matchday 8
2026-11-01,,Eintracht Frankfurt,Hamburger SV,Matchday 8
2026-11-01,,FC Augsburg,SC Freiburg,Matchday 8
2026-11-01,,Union Berlin,1. FC Köln,Matchday 8
2026-11-01,,Borussia Mönchengladbach,SC Paderborn,Matchday 8
2026-11-01,,Werder Bremen,TSG Hoffenheim,Matchday 8
2026-11-01,,Schalke 04,RB Leipzig,Matchday 8
2026-11-01,,SV Elversberg,Mainz 05,Matchday 8
2026-11-08,,Borussia Dortmund,SV Elversberg,Matchday 9
2026-11-08,,RB Leipzig,FC Augsburg,Matchday 9
2026-11-08,,VfB Stuttgart,Werder Bremen,Matchday 9
2026-11-08,,TSG Hoffenheim,Schalke 04,Matchday 9
2026-11-08,,SC Freiburg,Union Berlin,Matchday 9
2026-11-08,,Mainz 05,Bayern Munich,Matchday 9
2026-11-08,,Hamburger SV,Borussia Mönchengladbach,Matchday 9
2026-11-08,,1. FC Köln,Bayer Leverkusen,Matchday 9
2026-11-08,,SC Paderborn,Eintracht Frankfurt,Matchday 9
2026-11-22,,Bayern Munich,1. FC Köln,Matchday 10
2026-11-22,,Bayer Leverkusen,SC Paderborn,Matchday 10
2026-11-22,,Eintracht Frankfurt,TSG Hoffenheim,Matchday 10
2026-11-22,,FC Augsburg,Mainz 05,Matchday 10
2026-11-22,,Union Berlin,RB Leipzig,Matchday 10
2026-11-22,,Borussia Mönchengladbach,Borussia Dortmund,Matchday 10
2026-11-22,,Werder Bremen,Hamburger SV,Matchday 10
2026-11-22,,Schalke 04,VfB Stuttgart,Matchday 10
2026-11-22,,SV Elversberg,SC Freiburg,Matchday 10
2026-11-29,,Borussia Dortmund,Bayer Leverkusen,Matchday 11
