date,time,home,away,round
2026-08-01,,Tranmere Rovers,Rochdale,Preliminary Round
2026-08-03,,York City,Crawley Town,Preliminary Round
2026-08-09,,Queens Park Rangers,Millwall,Round One (w/c Aug 9)
2026-08-09,,Cheltenham Town,Charlton Athletic,Round One (w/c Aug 9)
2026-08-09,,Gillingham,Luton Town,Round One (w/c Aug 9)
2026-08-09,,Cardiff City,Swindon Town,Round One (w/c Aug 9)
2026-08-09,,Bristol City,Walsall,Round One (w/c Aug 9)
2026-08-09,,Plymouth Argyle,Exeter City,Round One (w/c Aug 9)
2026-08-09,,Bristol Rovers,Peterborough United,Round One (w/c Aug 9)
2026-08-09,,Cambridge United,Barnet,Round One (w/c Aug 9)
2026-08-09,,Norwich City,Milton Keynes Dons,Round One (w/c Aug 9)
2026-08-09,,Colchester United,Southampton,Round One (w/c Aug 9)
2026-08-09,,Leyton Orient,Oxford United,Round One (w/c Aug 9)
2026-08-09,,Wycombe Wanderers,Stevenage,Round One (w/c Aug 9)
2026-08-09,,Bromley,Reading,Round One (w/c Aug 9)
2026-08-09,,Swansea City,Birmingham City,Round One (w/c Aug 9)
2026-08-09,,West Ham United,Portsmouth,Round One (w/c Aug 9)
2026-08-09,,AFC Wimbledon,Newport County,Round One (w/c Aug 9)
2026-08-09,,Leicester City,Northampton Town,Round One (w/c Aug 9)
2026-08-09,,Middlesbrough,Wrexham,Round One (w/c Aug 9)
2026-08-09,,Rotherham United,West Bromwich Albion,Round One (w/c Aug 9)
2026-08-09,,Barnsley,Wigan Athletic,Round One (w/c Aug 9)
2026-08-09,,Mansfield Town,Sheffield United,Round One (w/c Aug 9)
2026-08-09,,Stockport County,Doncaster Rovers,Round One (w/c Aug 9)
2026-08-09,,Sheffield Wednesday,Bolton Wanderers,Round One (w/c Aug 9)
2026-08-09,,Fleetwood Town,Chesterfield,Round One (w/c Aug 9)
2026-08-09,,Crewe Alexandra,Accrington Stanley,Round One (w/c Aug 9)
2026-08-09,,Stoke City,Oldham Athletic,Round One (w/c Aug 9)
2026-08-09,,Wolverhampton Wanderers,Port Vale,Round One (w/c Aug 9)
2026-08-09,,Burnley,Notts County,Round One (w/c Aug 9)
2026-08-09,,Derby County,Lincoln City,Round One (w/c Aug 9)
2026-08-09,,Burton Albion,Blackburn Rovers,Round One (w/c Aug 9)
2026-08-09,,Salford City,Shrewsbury Town,Round One (w/c Aug 9)
2026-08-09,,Grimsby Town,Blackpool,Round One (w/c Aug 9)
2026-08-09,,Preston North End,Huddersfield Town,Round One (w/c Aug 9)
2026-08-09,,Watford,Winner of Prelim: York City v Crawley Town,Round One (w/c Aug 9)
2026-08-09,,Bradford City,Winner of Prelim: Tranmere Rovers v Rochdale,Round One (w/c Aug 9)
