date,time,home,away,round
2026-08-16,,Alavés,Getafe,Matchday 1
2026-08-16,,Atlético Madrid,Málaga,Matchday 1
2026-08-16,,Celta Vigo,Osasuna,Matchday 1
2026-08-16,,Deportivo La Coruña,Elche,Matchday 1
2026-08-16,,Espanyol,Levante,Matchday 1
2026-08-16,,Barcelona,Athletic Bilbao,Matchday 1
2026-08-16,,Racing Santander,Villarreal,Matchday 1
2026-08-16,,Real Madrid,Real Sociedad,Matchday 1
2026-08-16,,Sevilla,Rayo Vallecano,Matchday 1
2026-08-16,,Valencia,Real Betis,Matchday 1
2026-08-23,,Athletic Bilbao,Sevilla,Matchday 2
2026-08-23,,Atlético Madrid,Villarreal,Matchday 2
2026-08-23,,Real Betis,Real Sociedad,Matchday 2
2026-08-23,,Elche,Barcelona,Matchday 2
2026-08-23,,Espanyol,Real Madrid,Matchday 2
2026-08-23,,Getafe,Racing Santander,Matchday 2
2026-08-23,,Málaga,Deportivo La Coruña,Matchday 2
2026-08-23,,Osasuna,Levante,Matchday 2
2026-08-23,,Rayo Vallecano,Alavés,Matchday 2
2026-08-23,,Valencia,Celta Vigo,Matchday 2
2026-08-30,,Alavés,Villarreal,Matchday 3
2026-08-30,,Celta Vigo,Athletic Bilbao,Matchday 3
2026-08-30,,Deportivo La Coruña,Valencia,Matchday 3
2026-08-30,,Barcelona,Rayo Vallecano,Matchday 3
2026-08-30,,Levante,Real Betis,Matchday 3
2026-08-30,,Osasuna,Getafe,Matchday 3
2026-08-30,,Racing Santander,Elche,Matchday 3
2026-08-30,,Real Madrid,Málaga,Matchday 3
2026-08-30,,Real Sociedad,Espanyol,Matchday 3
2026-08-30,,Sevilla,Atlético Madrid,Matchday 3
2026-09-06,,Alavés,Osasuna,Matchday 4
2026-09-06,,Athletic Bilbao,Atlético Madrid,Matchday 4
2026-09-06,,Real Betis,Real Madrid,Matchday 4
2026-09-06,,Elche,Real Sociedad,Matchday 4
2026-09-06,,Espanyol,Sevilla,Matchday 4
2026-09-06,,Getafe,Celta Vigo,Matchday 4
2026-09-06,,Málaga,Levante,Matchday 4
2026-09-06,,Rayo Vallecano,Racing Santander,Matchday 4
2026-09-06,,Valencia,Barcelona,Matchday 4
2026-09-06,,Villarreal,Deportivo La Coruña,Matchday 4
2026-09-13,,Athletic Bilbao,Elche,Matchday 5
2026-09-13,,Celta Vigo,Málaga,Matchday 5
2026-09-13,,Getafe,Deportivo La Coruña,Matchday 5
2026-09-13,,Levante,Barcelona,Matchday 5
2026-09-13,,Osasuna,Espanyol,Matchday 5
2026-09-13,,Racing Santander,Alavés,Matchday 5
2026-09-13,,Real Madrid,Rayo Vallecano,Matchday 5
2026-09-13,,Real Sociedad,Atlético Madrid,Matchday 5
2026-09-13,,Sevilla,Valencia,Matchday 5
2026-09-13,,Villarreal,Real Betis,Matchday 5
2026-09-16,,Alavés,Valencia,Matchday 6
2026-09-16,,Atlético Madrid,Osasuna,Matchday 6
2026-09-16,,Real Betis,Getafe,Matchday 6
2026-09-16,,Deportivo La Coruña,Sevilla,Matchday 6
2026-09-16,,Elche,Real Madrid,Matchday 6
2026-09-16,,Barcelona,Racing Santander,Matchday 6
2026-09-16,,Levante,Athletic Bilbao,Matchday 6
2026-09-16,,Málaga,Villarreal,Matchday 6
2026-09-16,,Rayo Vallecano,Espanyol,Matchday 6
2026-09-16,,Real Sociedad,Celta Vigo,Matchday 6
2026-09-20,,Athletic Bilbao,Alavés,Matchday 7
2026-09-20,,Atlético Madrid,Real Madrid,Matchday 7
2026-09-20,,Celta Vigo,Racing Santander,Matchday 7
2026-09-20,,Deportivo La Coruña,Real Betis,Matchday 7
2026-09-20,,Espanyol,Elche,Matchday 7
2026-09-20,,Getafe,Málaga,Matchday 7
2026-09-20,,Osasuna,Rayo Vallecano,Matchday 7
2026-09-20,,Sevilla,Barcelona,Matchday 7
2026-09-20,,Valencia,Real Sociedad,Matchday 7
2026-09-20,,Villarreal,Levante,Matchday 7
2026-10-11,,Alavés,Atlético Madrid,Matchday 8
2026-10-11,,Real Betis,Osasuna,Matchday 8
2026-10-11,,Elche,Celta Vigo,Matchday 8
2026-10-11,,Barcelona,Getafe,Matchday 8
2026-10-11,,Levante,Sevilla,Matchday 8
2026-10-11,,Málaga,Espanyol,Matchday 8
2026-10-11,,Racing Santander,Valencia,Matchday 8
2026-10-11,,Rayo Vallecano,Athletic Bilbao,Matchday 8
2026-10-11,,Real Madrid,Villarreal,Matchday 8
2026-10-11,,Real Sociedad,Deportivo La Coruña,Matchday 8
2026-10-18,,Real Betis,Barcelona,Matchday 9
2026-10-18,,Celta Vigo,Alavés,Matchday 9
2026-10-18,,Deportivo La Coruña,Levante,Matchday 9
2026-10-18,,Espanyol,Atlético Madrid,Matchday 9
2026-10-18,,Getafe,Rayo Vallecano,Matchday 9
2026-10-18,,Málaga,Real Sociedad,Matchday 9
2026-10-18,,Osasuna,Racing Santander,Matchday 9
2026-10-18,,Real Madrid,Sevilla,Matchday 9
2026-10-18,,Valencia,Athletic Bilbao,Matchday 9
2026-10-18,,Villarreal,Elche,Matchday 9
2026-10-25,,Alavés,Málaga,Matchday 10
2026-10-25,,Athletic Bilbao,Getafe,Matchday 10
2026-10-25,,Atlético Madrid,Deportivo La Coruña,Matchday 10
2026-10-25,,Celta Vigo,Real Betis,Matchday 10
2026-10-25,,Barcelona,Real Madrid,Matchday 10
2026-10-25,,Racing Santander,Espanyol,Matchday 10
2026-10-25,,Rayo Vallecano,Elche,Matchday 10
