date,time,home,away,round
2026-08-15,12:30,Oxford United,Milton Keynes Dons,
2026-08-15,12:30,Reading,Luton Town,
2026-08-15,12:30,Notts County,Leicester City,
2026-08-15,15:00,Barnsley,Bromley,
2026-08-15,15:00,Mansfield Town,Doncaster Rovers,
2026-08-15,15:00,Cambridge United,Wigan Athletic,
2026-08-15,15:00,Burton Albion,Stevenage,
2026-08-15,15:00,Blackpool,Wycombe Wanderers,
2026-08-15,15:00,Plymouth Argyle,Stockport County,
2026-08-15,15:00,Bradford City,Peterborough United,
2026-08-15,15:00,Leyton Orient,Sheffield Wednesday,
2026-08-15,15:00,Huddersfield Town,AFC Wimbledon,
2026-08-20,20:00,Sheffield Wednesday,Bradford City,
2026-08-22,12:30,Luton Town,Notts County,
2026-08-22,12:30,Doncaster Rovers,Barnsley,
2026-08-22,15:00,Bromley,Cambridge United,
2026-08-22,15:00,Stevenage,Oxford United,
2026-08-22,15:00,Peterborough United,Mansfield Town,
2026-08-22,15:00,Milton Keynes Dons,Huddersfield Town,
2026-08-22,15:00,AFC Wimbledon,Reading,
2026-08-22,15:00,Leicester City,Burton Albion,
2026-08-22,15:00,Wycombe Wanderers,Plymouth Argyle,
2026-08-22,15:00,Wigan Athletic,Leyton Orient,
2026-08-22,15:00,Stockport County,Blackpool,
2026-08-29,12:30,Milton Keynes Dons,Leicester City,
2026-08-29,12:30,Blackpool,Peterborough United,
2026-08-29,15:00,AFC Wimbledon,Wigan Athletic,
2026-08-29,15:00,Leyton Orient,Barnsley,
2026-08-29,15:00,Notts County,Burton Albion,
2026-08-29,15:00,Stevenage,Doncaster Rovers,
2026-08-29,15:00,Sheffield Wednesday,Bromley,
2026-08-29,15:00,Stockport County,Wycombe Wanderers,
2026-08-29,15:00,Plymouth Argyle,Bradford City,
2026-08-29,15:00,Cambridge United,Huddersfield Town,
2026-08-29,15:00,Mansfield Town,Luton Town,
2026-09-01,19:45,Doncaster Rovers,Notts County,
2026-09-01,19:45,Bromley,Leyton Orient,
2026-09-01,19:45,Burton Albion,AFC Wimbledon,
2026-09-01,19:45,Wycombe Wanderers,Sheffield Wednesday,
2026-09-01,19:45,Leicester City,Plymouth Argyle,
2026-09-01,19:45,Huddersfield Town,Oxford United,
2026-09-01,19:45,Barnsley,Blackpool,
2026-09-01,19:45,Peterborough United,Stevenage,
2026-09-01,19:45,Bradford City,Cambridge United,
2026-09-01,19:45,Wigan Athletic,Milton Keynes Dons,
2026-09-01,19:45,Luton Town,Stockport County,
2026-09-01,20:00,Reading,Mansfield Town,
2026-09-05,12:30,Wigan Athletic,Stockport County,
2026-09-05,12:30,Peterborough United,Sheffield Wednesday,
2026-09-05,15:00,Leicester City,Oxford United,
2026-09-05,15:00,Wycombe Wanderers,Milton Keynes Dons,
2026-09-05,15:00,Luton Town,Leyton Orient,
2026-09-05,15:00,Bradford City,Mansfield Town,
2026-09-05,15:00,Reading,Blackpool,
2026-09-05,15:00,Barnsley,Stevenage,
2026-09-05,15:00,Huddersfield Town,Notts County,
2026-09-05,15:00,Doncaster Rovers,Plymouth Argyle,
2026-09-05,15:00,Burton Albion,Cambridge United,
2026-09-07,20:00,Bromley,AFC Wimbledon,
2026-09-08,19:45,Oxford United,Reading,
2026-09-10,20:00,Stevenage,Luton Town,
2026-09-12,12:30,Leyton Orient,Wycombe Wanderers,
2026-09-12,12:30,Notts County,Bradford City,
2026-09-12,15:00,Milton Keynes Dons,Peterborough United,
2026-09-12,15:00,AFC Wimbledon,Doncaster Rovers,
2026-09-12,15:00,Stockport County,Leicester City,
2026-09-12,15:00,Oxford United,Burton Albion,
2026-09-12,15:00,Blackpool,Bromley,
2026-09-12,15:00,Cambridge United,Reading,
2026-09-12,15:00,Mansfield Town,Huddersfield Town,
2026-09-12,15:00,Plymouth Argyle,Barnsley,
2026-09-12,15:00,Sheffield Wednesday,Wigan Athletic,
2026-09-17,20:00,AFC Wimbledon,Milton Keynes Dons,
2026-09-19,12:30,Burton Albion,Mansfield Town,
2026-09-19,12:30,Barnsley,Leicester City,
2026-09-19,15:00,Oxford United,Cambridge United,
2026-09-19,15:00,Leyton Orient,Stevenage,
2026-09-19,15:00,Blackpool,Plymouth Argyle,
2026-09-19,15:00,Bromley,Huddersfield Town,
2026-09-19,15:00,Peterborough United,Doncaster Rovers,
