date,time,home,away,round
2026-08-22,,Angers,Lille,Matchday 1
2026-08-22,,Le Havre,Monaco,Matchday 1
2026-08-22,,Le Mans,Brest,Matchday 1
2026-08-22,,Lens,Auxerre,Matchday 1
2026-08-22,,Marseille,Strasbourg,Matchday 1
2026-08-22,,Nice,Lorient,Matchday 1
2026-08-22,,Paris Saint-Germain,Rennes,Matchday 1
2026-08-22,,Toulouse,Lyon,Matchday 1
2026-08-22,,Troyes,Paris FC,Matchday 1
2026-08-29,,Auxerre,Angers,Matchday 2
2026-08-29,,Brest,Toulouse,Matchday 2
2026-08-29,,Lille,Paris Saint-Germain,Matchday 2
2026-08-29,,Lorient,Troyes,Matchday 2
2026-08-29,,Lyon,Le Havre,Matchday 2
2026-08-29,,Monaco,Marseille,Matchday 2
2026-08-29,,Paris FC,Nice,Matchday 2
2026-08-29,,Rennes,Le Mans,Matchday 2
2026-08-29,,Strasbourg,Lens,Matchday 2
2026-09-05,,Angers,Rennes,Matchday 3
2026-09-05,,Le Havre,Brest,Matchday 3
2026-09-05,,Lens,Lorient,Matchday 3
2026-09-05,,Lyon,Auxerre,Matchday 3
2026-09-05,,Marseille,Paris FC,Matchday 3
2026-09-05,,Nice,Le Mans,Matchday 3
2026-09-05,,Paris Saint-Germain,Monaco,Matchday 3
2026-09-05,,Toulouse,Lille,Matchday 3
2026-09-05,,Troyes,Strasbourg,Matchday 3
2026-09-12,,Auxerre,Nice,Matchday 4
2026-09-12,,Brest,Paris Saint-Germain,Matchday 4
2026-09-12,,Le Havre,Angers,Matchday 4
2026-09-12,,Le Mans,Lens,Matchday 4
2026-09-12,,Lille,Troyes,Matchday 4
2026-09-12,,Lorient,Toulouse,Matchday 4
2026-09-12,,Paris FC,Lyon,Matchday 4
2026-09-12,,Rennes,Marseille,Matchday 4
2026-09-12,,Strasbourg,Monaco,Matchday 4
2026-09-19,,Angers,Troyes,Matchday 5
2026-09-19,,Auxerre,Brest,Matchday 5
2026-09-19,,Le Mans,Lorient,Matchday 5
2026-09-19,,Lyon,Rennes,Matchday 5
2026-09-19,,Marseille,Paris Saint-Germain,Matchday 5
2026-09-19,,Monaco,Lens,Matchday 5
2026-09-19,,Nice,Lille,Matchday 5
2026-09-19,,Paris FC,Strasbourg,Matchday 5
2026-09-19,,Toulouse,Le Havre,Matchday 5
2026-10-10,,Brest,Angers,Matchday 6
2026-10-10,,Lens,Lyon,Matchday 6
2026-10-10,,Lille,Le Havre,Matchday 6
2026-10-10,,Lorient,Paris FC,Matchday 6
2026-10-10,,Monaco,Toulouse,Matchday 6
