date,time,home,away,round
2026-08-23,,Atalanta,Sassuolo,Matchday 1
2026-08-23,,Bologna,Lazio,Matchday 1
2026-08-23,,Frosinone,Juventus,Matchday 1
2026-08-23,,Genoa,Napoli,Matchday 1
2026-08-23,,Inter Milan,Monza,Matchday 1
2026-08-23,,Parma,Cagliari,Matchday 1
2026-08-23,,Roma,Fiorentina,Matchday 1
2026-08-23,,Torino,AC Milan,Matchday 1
2026-08-23,,Udinese,Como,Matchday 1
2026-08-23,,Venezia,Lecce,Matchday 1
2026-08-30,,Atalanta,Bologna,Matchday 2
2026-08-30,,Cagliari,Inter Milan,Matchday 2
2026-08-30,,Fiorentina,Frosinone,Matchday 2
2026-08-30,,Juventus,Parma,Matchday 2
2026-08-30,,Lazio,Genoa,Matchday 2
2026-08-30,,Lecce,Roma,Matchday 2
2026-08-30,,AC Milan,Venezia,Matchday 2
2026-08-30,,Monza,Udinese,Matchday 2
2026-08-30,,Napoli,Como,Matchday 2
2026-08-30,,Sassuolo,Torino,Matchday 2
2026-09-06,,Bologna,Sassuolo,Matchday 3
2026-09-06,,Cagliari,Lecce,Matchday 3
2026-09-06,,Fiorentina,Torino,Matchday 3
2026-09-06,,Frosinone,Venezia,Matchday 3
2026-09-06,,Genoa,Como,Matchday 3
2026-09-06,,Inter Milan,Napoli,Matchday 3
2026-09-06,,Juventus,AC Milan,Matchday 3
2026-09-06,,Parma,Monza,Matchday 3
2026-09-06,,Roma,Atalanta,Matchday 3
2026-09-06,,Udinese,Lazio,Matchday 3
2026-09-13,,Atalanta,Cagliari,Matchday 4
2026-09-13,,Como,Parma,Matchday 4
2026-09-13,,Genoa,Frosinone,Matchday 4
2026-09-13,,Inter Milan,Udinese,Matchday 4
2026-09-13,,Lazio,AC Milan,Matchday 4
2026-09-13,,Lecce,Monza,Matchday 4
2026-09-13,,Napoli,Bologna,Matchday 4
2026-09-13,,Sassuolo,Juventus,Matchday 4
2026-09-13,,Torino,Roma,Matchday 4
2026-09-13,,Venezia,Fiorentina,Matchday 4
2026-09-20,,Bologna,Torino,Matchday 5
2026-09-20,,Fiorentina,Napoli,Matchday 5
2026-09-20,,Frosinone,Como,Matchday 5
2026-09-20,,Juventus,Atalanta,Matchday 5
2026-09-20,,AC Milan,Lecce,Matchday 5
2026-09-20,,Monza,Sassuolo,Matchday 5
2026-09-20,,Parma,Genoa,Matchday 5
2026-09-20,,Roma,Inter Milan,Matchday 5
2026-09-20,,Udinese,Cagliari,Matchday 5
2026-09-20,,Venezia,Lazio,Matchday 5
2026-10-11,,Atalanta,Venezia,Matchday 6
2026-10-11,,Cagliari,Juventus,Matchday 6
2026-10-11,,Como,Roma,Matchday 6
2026-10-11,,Genoa,Fiorentina,Matchday 6
2026-10-11,,Inter Milan,Parma,Matchday 6
2026-10-11,,Lazio,Monza,Matchday 6
2026-10-11,,Lecce,Bologna,Matchday 6
2026-10-11,,Napoli,Frosinone,Matchday 6
2026-10-11,,Sassuolo,AC Milan,Matchday 6
2026-10-11,,Torino,Udinese,Matchday 6
2026-10-18,,Bologna,Inter Milan,Matchday 7
2026-10-18,,Fiorentina,Como,Matchday 7
2026-10-18,,Frosinone,Sassuolo,Matchday 7
2026-10-18,,Juventus,Lazio,Matchday 7
2026-10-18,,AC Milan,Atalanta,Matchday 7
2026-10-18,,Monza,Cagliari,Matchday 7
2026-10-18,,Parma,Torino,Matchday 7
2026-10-18,,Roma,Genoa,Matchday 7
2026-10-18,,Udinese,Lecce,Matchday 7
2026-10-18,,Venezia,Napoli,Matchday 7
